"CA Owner","Parent Name","Certificate Name","Certificate Issuer Common Name","Certificate Issuer Organization","Certificate Subject Common Name","Certificate Subject Organization","Certificate Serial Number","SHA-256 Fingerprint","Subject + SPKI SHA256","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Extended Key Usage","CP/CPS Same As Parent","Certificate Policy (CP)","Certification Practice Statement (CPS)","Audits Same As Parent","Standard Audit","BR Audit","Auditor","Standard Audit Statement Dt","Comments","Subordinate CA Owner"
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Camerfirma AAPP II - 2014","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Camerfirma AAPP II - 2014","AC Camerfirma S.A.","1548D054B8A842BA","7239D2F770FAFF3B1CF8BE2A05EC03EDEAAC053B554F90D36921155BA8051981","B42A873E41BD401E1080EC479C9A466246B3042139E22B30F14CAF810939E835","2014 Dec 16","2037 Dec 15","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Camerfirma Corporate Server II - 2015","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Camerfirma Corporate Server II - 2015","AC Camerfirma S.A.","621FF31C489BA136","66EAE2709B54CDD1693177B1332FF036CDD0F723DB3039ED311555A6CBF5FF3E","11A961CCE4BEB56EE73230FE6327BD1F1415CE9334D5EF2E682F6490D8183F03","2015 Jan 15","2037 Dec 15","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Camerfirma TSA - 2013","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Camerfirma TSA - 2013","AC Camerfirma S.A.","236D365DE39A9C45","AB49C64AC5D27F9B3688CA80AA38927F1C37CD165964140863F34327CE05022C","6D288AC53199AB64FA426AC2427BB90AD76EC2D800E85C5EADB116D721111BF4","2013 Feb 25","2037 Feb 19","RSA 4096 bits","SHA1WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Chambers of Commerce Root - 2008","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","Chambers of Commerce Root - 2008","AC Camerfirma S.A.","00D9083FBBA967CA1A","3666F8049140FDC0A65E809B281A3BE3B10DAFEEFD76B9DDC272A93E83CA5B99","849AD3279D9B805A288339468C417744AC1CE2758A6E283A446685384D5D6CD2","2011 Dec 07","2038 Jul 31","RSA 4096 bits","SHA256WithRSA","","TRUE","","","TRUE","","","","","This certificate has the same subject/issuer as an included root certificate, so validation software finds a valid path up to the root certificate. Therefore, this certificate is essentially treated as an intermediate certificate, and has to be disclosed in the CCADB as such.",""
"AC Camerfirma, S.A.","DigitalSign Primary CA","DigitalSign CA","DigitalSign Primary CA","DigitalSign Certificadora Digital","DigitalSign CA","DigitalSign Certificadora Digital","03981F51E2D68E32","9AB25C1E795C85A321419D3062F84B52132BAA8F718843A83E31FBF99FEDC3D7","6C2FF73B4476CCECFAA5B7641D54B3C9BFF069089F401771D5A9D663B1603B4D","2015 Nov 25","2037 Oct 30","RSA 4096 bits","SHA512WithRSA","ExtKeyUsageEmailProtection,ExtKeyUsageClientAuth","TRUE","","","TRUE","","","CSQA Certificazioni srl","","","DigitalSign"
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","AC Camerfirma Portugal - 2015","Global Chambersign Root - 2008","AC Camerfirma S.A.","AC Camerfirma Portugal - 2015","AC Camerfirma S.A.","04796F61322C16A2","404E643D6EED3BFCFAFC49CC57D6E6BE4B6DE8297176C5190F15E0A5EF11FE97","2F41559DA407FF3AF1A74B0A5BAE31EE2811A83F2ABF2AB6C1840F51F0974CCC","2015 Nov 17","2037 Nov 21","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","Global Chambersign Root - 2008","Global Chambersign Root - 2008","AC Camerfirma S.A.","Global Chambersign Root - 2008","AC Camerfirma S.A.","00AE8219053F5E8271","F01C1ACA392882AF152E9F01ECCCD0AFDDD8AA35BF895B003198B1E8C752DDB8","7DB0C6863B891672A51E9D28B42610F1DB9F5651C8C87736B937536F8453F947","2011 Dec 07","2038 Jul 31","RSA 4096 bits","SHA256WithRSA","","TRUE","","","TRUE","","","","","This certificate has the same subject/issuer as an included root certificate, so validation software finds a valid path up to the root certificate. Therefore, this certificate is essentially treated as an intermediate certificate, and has to be disclosed in the CCADB as such.",""
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","GLOBAL CORPORATE SERVER","Global Chambersign Root - 2008","AC Camerfirma S.A.","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","44841E74619F52CB","201C0617CC3310C7F29FCBE46B57459BC6786A8BA2753018EB27C1E800168A2E","44C812EB1DF3D29912F78DA9A32A79C46E98D665331A48D9FD593F5BA08F5A41","2017 May 25","2037 May 20","RSA 4096 bits","SHA256WithRSA","(not present)","TRUE","","","TRUE","","","","","",""
"AC Camerfirma, S.A.","GLOBAL CORPORATE SERVER","InfoCert Organization Validation 2019 CA 3","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","InfoCert Organization Validation 2019 CA 3","InfoCert S.p.A.","31B31444FDD6C2A78F0A9C","37122C1A3F3E2D2174740C42C6BC5F585CD38D81B0952DCB457ACC010AC7A4E2","67F4A0C9E4627CFFF5C75EC29FB9531529C60ED5D5133CFD5CE8E986089D5A16","2019 Nov 22","2031 Nov 14","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","","","https://www.firma.infocert.it/pdf/MO_WS_ENG.pdf","","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-eIDAS-2022-8524.pdf.aspx?lang=it-IT","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-eIDAS-2022-8524.pdf.aspx?lang=it-IT","CSQA Certificazioni srl","2022.06.14","","InfoCert S.p.A."
"AC Camerfirma, S.A.","GLOBAL CORPORATE SERVER","InfoCert Organization Validation CA 3","GLOBAL CORPORATE SERVER","AC Camerfirma S.A.","InfoCert Organization Validation CA 3","InfoCert S.p.A.","0249528BFBFF7DDF","247A6D807FF164031E0EB22CA85DE329A3A4E6603DBC6203F0C6E282A9C9EA84","95C9A9E238A3B9D343A519CB72281B875CCC301A9E46DDFB85343FAD2839082D","2017 Jul 06","2035 Jul 02","RSA 4096 bits","SHA256WithRSA","ExtKeyUsageClientAuth,ExtKeyUsageServerAuth","","","https://www.firma.infocert.it/pdf/MO_WS_ENG.pdf","","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-eIDAS-2022-8524.pdf.aspx?lang=it-IT","https://www.csqa.it/getattachment/Servizi-e-Sicurezza-IT/Documenti/Attestazione-di-Audit-secondo-i-requisiti-ETSI/Attestation-Letter-InfoCert-eIDAS-2022-8524.pdf.aspx?lang=it-IT","CSQA Certificazioni srl","2022.06.14","","InfoCert S.p.A."
